,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA200124C00265000,2019-12-17 15:22:57,265.0,117.35,138.75,142.8,0.0,0.0,,4,0.5751995605468749,True,REGULAR,USD
1,TSLA200124C00270000,2019-12-19 16:45:31,270.0,134.63,133.85,137.95,0.0,0.0,1.0,0,0.5913126806640626,True,REGULAR,USD
2,TSLA200124C00280000,2019-12-20 20:49:16,280.0,124.91,123.65,127.95,53.130005,74.01784,7.0,1,0.5161181201171875,True,REGULAR,USD
3,TSLA200124C00285000,2019-12-19 18:16:14,285.0,118.25,119.2,123.1,0.0,0.0,226.0,250,0.5700726586914062,True,REGULAR,USD
4,TSLA200124C00297500,2019-12-16 05:11:33,297.5,48.15,106.45,110.85,0.0,0.0,,1,0.5095263891601562,True,REGULAR,USD
5,TSLA200124C00300000,2019-12-17 17:25:47,300.0,78.9,104.0,108.4,0.0,0.0,20.0,31,0.5048877636718749,True,REGULAR,USD
6,TSLA200124C00305000,2019-12-16 05:11:33,305.0,50.01,99.4,103.5,0.0,0.0,,0,0.5114794946289063,True,REGULAR,USD
7,TSLA200124C00310000,2019-12-16 18:51:29,310.0,73.35,94.75,98.7,0.0,0.0,4.0,5,0.5136767382812499,True,REGULAR,USD
8,TSLA200124C00312500,2019-12-16 18:49:54,312.5,70.65,92.15,96.3,0.0,0.0,1.0,2,0.5008594836425782,True,REGULAR,USD
9,TSLA200124C00315000,2019-12-18 20:27:58,315.0,78.75,89.7,93.9,0.0,0.0,1.0,7,0.627078924560547,True,REGULAR,USD
10,TSLA200124C00317500,2019-12-16 14:43:24,317.5,53.44,87.4,91.5,0.0,0.0,1.0,0,0.6170082244873047,True,REGULAR,USD
11,TSLA200124C00320000,2019-12-18 16:36:11,320.0,69.76,85.0,89.2,0.0,0.0,1.0,0,0.611576149902344,True,REGULAR,USD
12,TSLA200124C00322500,2019-12-17 17:15:37,322.5,59.5,82.55,86.8,0.0,0.0,1.0,0,0.6010782080078126,True,REGULAR,USD
13,TSLA200124C00325000,2019-12-17 17:25:47,325.0,55.9,80.1,84.35,0.0,0.0,20.0,62,0.5881388842773438,True,REGULAR,USD
