,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA200131C00275000,2019-12-17 20:44:32,275.0,105.64,129.1,134.1,0.0,0.0,3,0,0.6269568554687501,True,REGULAR,USD
1,TSLA200131C00320000,2019-12-20 17:44:59,320.0,90.22,86.55,91.25,2.959999,3.3921604,25,13,0.5462691857910158,True,REGULAR,USD
2,TSLA200131C00332500,2019-12-20 14:57:19,332.5,78.4,75.7,79.55,1.0299988,1.3312637,3,7,0.5260057165527343,True,REGULAR,USD
3,TSLA200131C00340000,2019-12-19 19:05:21,340.0,69.8,69.1,73.8,0.0,0.0,2,10,0.5272264074707032,True,REGULAR,USD
4,TSLA200131C00350000,2019-12-20 20:59:42,350.0,62.97,60.95,65.7,-0.05999756,-0.09518889,14,23,0.5208177801513671,True,REGULAR,USD
5,TSLA200131C00355000,2019-12-20 17:27:40,355.0,57.44,57.0,61.8,1.0099983,1.7898251,2,51,0.5171557073974609,True,REGULAR,USD
6,TSLA200131C00357500,2019-12-19 18:13:32,357.5,55.0,55.1,59.9,0.0,0.0,20,10,0.515904499206543,True,REGULAR,USD
7,TSLA200131C00360000,2019-12-20 19:00:08,360.0,56.02,53.25,57.95,0.8199997,1.4855067,6,0,0.5139208764648437,True,REGULAR,USD
8,TSLA200131C00362500,2019-12-20 15:19:05,362.5,52.15,51.3,56.2,19.830002,61.3552,50,64,0.5124560473632812,True,REGULAR,USD
9,TSLA200131C00365000,2019-12-20 20:08:31,365.0,50.22,49.55,54.35,0.5,1.0056314,112,57,0.5114794946289063,True,REGULAR,USD
10,TSLA200131C00370000,2019-12-20 20:53:28,370.0,48.0,45.95,50.75,-0.049999237,-0.104056686,29,96,0.5073596627807617,True,REGULAR,USD
11,TSLA200131C00372500,2019-12-20 15:59:24,372.5,43.54,44.25,49.1,-2.709999,-5.8594575,5,12,0.5069934555053711,True,REGULAR,USD
12,TSLA200131C00375000,2019-12-20 17:14:53,375.0,42.53,42.55,47.35,-1.1200027,-2.565871,13,126,0.5048572463989257,True,REGULAR,USD
13,TSLA200131C00377500,2019-12-19 14:40:48,377.5,38.2,40.95,45.7,0.0,0.0,4,18,0.5041248318481445,True,REGULAR,USD
14,TSLA200131C00380000,2019-12-20 20:28:15,380.0,41.3,39.3,44.1,0.54999924,1.3496914,12,275,0.5026905200195313,True,REGULAR,USD
15,TSLA200131C00382500,2019-12-20 20:08:22,382.5,38.8,37.7,42.55,0.20000076,0.5181367,2,83,0.5015918981933594,True,REGULAR,USD
16,TSLA200131C00385000,2019-12-20 20:54:40,385.0,38.5,36.2,41.0,0.3600006,0.94389254,13,41,0.5007374145507812,True,REGULAR,USD
17,TSLA200131C00390000,2019-12-20 20:42:20,390.0,34.8,34.0,35.8,-0.20000076,-0.57143074,56,0,0.5018360363769532,True,REGULAR,USD
18,TSLA200131C00395000,2019-12-20 20:54:30,395.0,32.48,30.45,35.3,0.23999786,0.7444102,10,79,0.5427291821289064,True,REGULAR,USD
19,TSLA200131C00400000,2019-12-20 20:52:45,400.0,29.8,27.8,32.65,0.29999924,1.0169466,94,366,0.5405319384765627,True,REGULAR,USD
20,TSLA200131C00405000,2019-12-20 20:49:26,405.0,27.15,27.0,27.8,0.14999962,0.55555415,118,0,0.4961598236083985,True,REGULAR,USD
21,TSLA200131C00410000,2019-12-20 20:59:57,410.0,24.74,24.0,25.8,0.69000053,2.8690252,238,122,0.501103621826172,False,REGULAR,USD
22,TSLA200131C00415000,2019-12-20 20:59:42,415.0,23.18,20.7,25.65,0.72999954,3.251668,27,46,0.5369003829956055,False,REGULAR,USD
23,TSLA200131C00420000,2019-12-20 20:59:19,420.0,21.17,18.65,22.5,0.8199997,4.029483,427,0,0.5162401892089843,False,REGULAR,USD
24,TSLA200131C00425000,2019-12-20 20:59:42,425.0,19.13,16.75,21.5,1.2599983,7.050914,42,125,0.5322007229614257,False,REGULAR,USD
25,TSLA200131C00430000,2019-12-20 20:58:22,430.0,17.45,15.0,19.95,0.70000076,4.179109,70,0,0.5361069338989258,False,REGULAR,USD
26,TSLA200131C00445000,2019-12-20 20:44:55,445.0,12.35,10.55,15.25,0.24000072,1.9818392,5,0,0.5344284838867188,False,REGULAR,USD
27,TSLA200131C00450000,2019-12-20 20:59:57,450.0,11.72,10.55,13.95,0.82000065,7.522942,66,626,0.5003101727294923,False,REGULAR,USD
28,TSLA200131C00455000,2019-12-20 20:59:57,455.0,10.07,8.15,11.05,0.21999931,2.2334955,26,61,0.4997608618164063,False,REGULAR,USD
