,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA191227C00200000,2019-12-16 15:38:49,200.0,176.49,204.25,206.65,0.0,0.0,1.0,2,2.477054588623047,True,REGULAR,USD
1,TSLA191227C00230000,2019-11-26 15:37:29,230.0,101.32,174.3,176.7,0.0,0.0,,1,2.052739243164062,True,REGULAR,USD
2,TSLA191227C00240000,2019-12-16 14:55:25,240.0,129.48,164.25,166.7,0.0,0.0,1.0,0,1.9174808813476565,True,REGULAR,USD
3,TSLA191227C00245000,2019-12-19 20:35:46,245.0,157.85,159.45,161.9,0.0,0.0,17.0,10,1.3007847460937496,True,REGULAR,USD
4,TSLA191227C00250000,2019-12-19 18:19:26,250.0,152.85,154.35,156.5,0.0,0.0,5.0,0,1.7265638671875,True,REGULAR,USD
5,TSLA191227C00255000,2019-11-18 05:09:15,255.0,80.12,149.65,153.65,0.0,0.0,1.0,2,1.7089858300781249,True,REGULAR,USD
6,TSLA191227C00260000,2019-12-20 19:43:14,260.0,145.0,144.4,146.85,-1.0,-0.6849315,4.0,0,1.0625046875000002,True,REGULAR,USD
7,TSLA191227C00265000,2019-12-13 18:39:12,265.0,90.55,139.25,141.5,0.0,0.0,1.0,2,1.5439475927734374,True,REGULAR,USD
8,TSLA191227C00270000,2019-12-19 20:09:39,270.0,135.23,134.4,136.95,0.0,0.0,2.0,0,1.0703171484375003,True,REGULAR,USD
9,TSLA191227C00275000,2019-12-19 20:53:52,275.0,128.6,129.1,131.9,0.0,0.0,10.0,19,1.5263695556640622,True,REGULAR,USD
10,TSLA191227C00280000,2019-12-19 15:42:04,280.0,122.72,124.15,126.85,0.0,0.0,1.0,7,1.455324989013672,True,REGULAR,USD
11,TSLA191227C00285000,2019-12-20 19:28:52,285.0,121.18,119.9,122.0,5.7300034,4.9631906,9.0,7,1.1308637207031251,True,REGULAR,USD
12,TSLA191227C00290000,2019-12-20 17:31:09,290.0,114.35,114.6,117.1,0.6100006,0.5363114,2.0,0,1.0322314013671878,True,REGULAR,USD
13,TSLA191227C00295000,2019-12-20 19:44:37,295.0,110.45,109.05,112.0,26.289993,31.23811,11.0,46,1.310306182861328,True,REGULAR,USD
14,TSLA191227C00297500,2019-12-19 14:45:55,297.5,102.23,106.6,109.4,0.0,0.0,1.0,3,1.2624548596191407,True,REGULAR,USD
15,TSLA191227C00300000,2019-12-20 20:39:24,300.0,104.98,103.9,106.9,0.5600052,0.5363007,82.0,199,1.2341346887207032,True,REGULAR,USD
16,TSLA191227C00302500,2019-12-19 16:11:52,302.5,102.81,101.55,104.3,0.0,0.0,2.0,82,1.1867716442871092,True,REGULAR,USD
17,TSLA191227C00305000,2019-12-20 20:20:04,305.0,98.02,99.1,101.9,21.559998,28.197748,26.0,0,1.1777384863281248,True,REGULAR,USD
18,TSLA191227C00307500,2019-12-20 18:07:11,307.5,98.52,96.5,99.45,6.0399933,6.531134,4.0,0,1.1586956127929686,True,REGULAR,USD
19,TSLA191227C00310000,2019-12-20 20:15:03,310.0,94.17,94.95,97.05,-0.3199997,-0.33865985,8.0,80,0.9096688720703124,True,REGULAR,USD
20,TSLA191227C00312500,2019-12-05 18:13:57,312.5,25.66,91.55,94.5,0.0,0.0,5.0,16,1.111576707763672,True,REGULAR,USD
21,TSLA191227C00315000,2019-12-19 14:34:02,315.0,85.49,89.0,92.0,0.0,0.0,1.0,35,1.083988955078125,True,REGULAR,USD
22,TSLA191227C00317500,2019-12-06 14:33:28,317.5,23.2,86.25,89.7,0.0,0.0,2.0,33,1.0874069067382814,True,REGULAR,USD
23,TSLA191227C00320000,2019-12-20 20:18:22,320.0,83.55,83.7,87.55,-1.6399994,-1.9251078,4.0,222,0.5937540625000001,True,REGULAR,USD
24,TSLA191227C00322500,2019-12-20 17:49:48,322.5,83.9,81.35,84.8,2.4000015,2.9447873,10.0,0,1.045414929199219,True,REGULAR,USD
25,TSLA191227C00325000,2019-12-20 20:20:04,325.0,78.98,79.95,82.6,0.6100006,0.77835983,26.0,409,0.8422867333984375,True,REGULAR,USD
26,TSLA191227C00327500,2019-12-20 18:33:59,327.5,78.8,76.25,79.7,19.350002,32.548363,11.0,67,0.975586181640625,True,REGULAR,USD
27,TSLA191227C00330000,2019-12-20 19:56:01,330.0,74.42,74.3,77.6,1.0199966,1.3896412,9.0,0,0.7094755615234375,True,REGULAR,USD
28,TSLA191227C00332500,2019-12-20 15:19:08,332.5,71.34,72.15,73.75,-1.4600067,-2.0055037,14.0,0,0.76367423828125,True,REGULAR,USD
29,TSLA191227C00335000,2019-12-20 19:56:01,335.0,69.47,69.9,71.8,-0.29999542,-0.42997772,4.0,189,0.631839619140625,True,REGULAR,USD
30,TSLA191227C00337500,2019-12-20 15:53:07,337.5,66.99,67.35,69.35,2.4799957,3.8443584,76.0,130,0.6103554589843752,True,REGULAR,USD
31,TSLA191227C00340000,2019-12-20 20:58:19,340.0,65.9,64.6,66.25,2.1400032,3.3563414,25.0,420,0.6918976123046876,True,REGULAR,USD
32,TSLA191227C00342500,2019-12-20 19:39:17,342.5,63.45,61.3,64.9,1.7600021,2.852978,11.0,188,0.834718449707031,True,REGULAR,USD
33,TSLA191227C00345000,2019-12-20 20:35:06,345.0,60.1,60.2,61.25,1.2999992,2.2108831,36.0,505,0.6445348046875,True,REGULAR,USD
34,TSLA191227C00347500,2019-12-20 15:51:37,347.5,57.15,57.4,60.3,0.65999985,1.1683481,566.0,0,0.63867548828125,True,REGULAR,USD
35,TSLA191227C00350000,2019-12-20 20:59:35,350.0,55.8,55.0,57.8,1.2000008,2.1978037,188.0,0,0.6228065063476562,True,REGULAR,USD
36,TSLA191227C00352500,2019-12-20 20:51:34,352.5,52.37,52.9,53.85,1.3099976,2.5656042,41.0,0,0.5905802661132813,True,REGULAR,USD
37,TSLA191227C00355000,2019-12-20 20:35:09,355.0,50.35,50.5,52.9,0.47999954,0.9625016,75.0,1111,0.6162147753906251,True,REGULAR,USD
38,TSLA191227C00357500,2019-12-20 20:38:35,357.5,47.95,48.0,50.4,0.45000076,0.94737,233.0,0,0.5908244042968751,True,REGULAR,USD
39,TSLA191227C00360000,2019-12-20 20:59:54,360.0,46.31,44.8,47.7,1.3100014,2.9111142,312.0,1558,0.5029346582031251,True,REGULAR,USD
40,TSLA191227C00362500,2019-12-20 19:11:01,362.5,44.2,41.3,45.5,2.2000008,5.238097,28.0,0,0.6669955175781253,True,REGULAR,USD
