,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA200117C00010000,2019-05-28 15:34:37,10.0,180.25,211.1,212.6,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
1,TSLA200117C00015000,2019-06-07 15:07:49,15.0,260.25,217.3,218.95,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
2,TSLA200117C00020000,2019-12-18 16:39:21,20.0,367.97,384.45,386.4,0.0,0.0,150,57,5.2265659667968745,True,REGULAR,USD
3,TSLA200117C00025000,2019-06-04 14:59:32,25.0,161.25,209.2,210.45,0.0,0.0,8,0,1.0000000000000003e-05,True,REGULAR,USD
4,TSLA200117C00030000,2019-12-13 14:38:32,30.0,332.2,374.4,376.45,0.0,0.0,8,0,4.484379394531249,True,REGULAR,USD
5,TSLA200117C00035000,2019-10-29 14:33:11,35.0,283.4,294.45,296.05,0.0,0.0,6,29,1.0000000000000003e-05,True,REGULAR,USD
6,TSLA200117C00040000,2019-11-15 16:34:48,40.0,310.42,365.15,367.6,0.0,0.0,20,51,3.8984377539062502,True,REGULAR,USD
7,TSLA200117C00045000,2019-09-30 17:06:35,45.0,195.05,269.05,270.4,0.0,0.0,10,0,1.0000000000000003e-05,True,REGULAR,USD
8,TSLA200117C00050000,2019-12-20 20:55:03,50.0,354.94,354.25,355.85,3.8900146,1.1081085,188,906,3.0253930615234372,True,REGULAR,USD
9,TSLA200117C00055000,2019-12-04 18:24:21,55.0,281.0,349.45,351.5,0.0,0.0,10,0,3.416017084960937,True,REGULAR,USD
10,TSLA200117C00060000,2019-12-04 16:35:19,60.0,275.2,344.45,346.35,0.0,0.0,30,235,3.177736430664062,True,REGULAR,USD
11,TSLA200117C00065000,2019-11-05 19:48:54,65.0,253.06,269.8,271.5,0.0,0.0,2,106,1.0000000000000003e-05,True,REGULAR,USD
12,TSLA200117C00070000,2019-12-20 14:58:52,70.0,336.65,334.45,335.85,30.199982,9.854782,1,687,2.535159912109375,True,REGULAR,USD
13,TSLA200117C00075000,2019-11-21 20:56:57,75.0,280.45,329.3,330.95,0.0,0.0,1,719,2.534183352050781,True,REGULAR,USD
14,TSLA200117C00080000,2019-12-19 16:49:31,80.0,323.5,324.2,326.65,0.0,0.0,5,0,2.836916970214843,True,REGULAR,USD
15,TSLA200117C00085000,2019-10-25 17:36:54,85.0,237.0,244.45,245.35,0.0,0.0,21,340,1.0000000000000003e-05,True,REGULAR,USD
16,TSLA200117C00090000,2019-11-07 16:45:25,90.0,248.9,245.1,246.55,0.0,0.0,1,577,1.0000000000000003e-05,True,REGULAR,USD
17,TSLA200117C00095000,2019-11-01 14:31:57,95.0,215.97,239.85,241.4,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
18,TSLA200117C00100000,2019-12-19 14:31:18,100.0,300.0,304.15,306.8,0.0,0.0,1,642,2.506839670410156,True,REGULAR,USD
19,TSLA200117C00105000,2019-10-17 18:22:54,105.0,157.07,246.35,248.35,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
20,TSLA200117C00110000,2019-11-07 19:22:14,110.0,222.4,224.8,226.45,0.0,0.0,3,37,1.0000000000000003e-05,True,REGULAR,USD
21,TSLA200117C00115000,2019-10-17 18:20:56,115.0,147.18,236.35,238.3,0.0,0.0,10,0,1.0000000000000003e-05,True,REGULAR,USD
22,TSLA200117C00120000,2019-11-22 17:17:57,120.0,214.1,284.2,286.7,0.0,0.0,3,19,2.1630905297851566,True,REGULAR,USD
23,TSLA200117C00125000,2019-10-25 14:56:48,125.0,189.0,204.55,205.45,0.0,0.0,6,37,1.0000000000000003e-05,True,REGULAR,USD
24,TSLA200117C00130000,2019-11-19 17:27:58,130.0,226.5,274.1,276.75,0.0,0.0,1,49,2.042973642578125,True,REGULAR,USD
25,TSLA200117C00135000,2019-10-24 17:44:44,135.0,162.25,197.0,199.15,0.0,0.0,5,43,1.0000000000000003e-05,True,REGULAR,USD
26,TSLA200117C00140000,2019-11-05 19:34:49,140.0,219.18,195.05,196.4,0.0,0.0,20,61,1.0000000000000003e-05,True,REGULAR,USD
27,TSLA200117C00145000,2019-10-25 17:35:54,145.0,176.79,184.45,185.95,0.0,0.0,1,28,1.0000000000000003e-05,True,REGULAR,USD
28,TSLA200117C00150000,2019-12-20 20:55:03,150.0,255.04,254.3,257.0,3.8899994,1.548875,193,0,1.2460975195312498,True,REGULAR,USD
29,TSLA200117C00155000,2019-12-16 19:46:04,155.0,223.48,249.1,252.0,0.0,0.0,10,0,1.8049326159667967,True,REGULAR,USD
30,TSLA200117C00160000,2019-12-17 16:55:35,160.0,219.05,244.05,246.95,0.0,0.0,151,0,1.7392591162109374,True,REGULAR,USD
31,TSLA200117C00165000,2019-11-22 17:36:13,165.0,169.3,239.0,242.05,0.0,0.0,2,0,1.7075209936523437,True,REGULAR,USD
32,TSLA200117C00170000,2019-12-18 14:39:55,170.0,215.65,234.1,237.05,0.0,0.0,6,228,1.6557634399414063,True,REGULAR,USD
33,TSLA200117C00175000,2019-12-11 17:16:56,175.0,180.75,229.0,232.05,0.0,0.0,5,96,1.60547072265625,True,REGULAR,USD
34,TSLA200117C00180000,2019-12-11 16:19:23,180.0,175.46,224.05,227.05,0.0,0.0,1,441,1.5566428417968747,True,REGULAR,USD
35,TSLA200117C00185000,2019-12-20 14:46:31,185.0,224.0,219.0,222.15,29.800003,15.345007,4,170,1.5273461132812498,True,REGULAR,USD
36,TSLA200117C00190000,2019-12-20 18:46:23,190.0,216.01,213.9,217.3,0.009994507,0.0046270867,1,0,0.8125018749999999,True,REGULAR,USD
37,TSLA200117C00195000,2019-12-18 19:54:17,195.0,200.0,209.0,212.2,0.0,0.0,9,313,0.79687703125,True,REGULAR,USD
38,TSLA200117C00200000,2019-12-20 20:33:08,200.0,205.0,205.15,207.55,0.75,0.36719707,22,1750,1.2334022705078125,True,REGULAR,USD
39,TSLA200117C00205000,2019-12-12 16:45:41,205.0,158.83,198.95,202.3,0.0,0.0,15,17,0.8281267187499999,True,REGULAR,USD
40,TSLA200117C00210000,2019-12-20 20:43:30,210.0,194.0,193.7,197.4,2.0299988,1.0574563,6,1402,1.3425325842285152,True,REGULAR,USD
41,TSLA200117C00215000,2019-12-20 18:16:44,215.0,191.03,188.9,192.35,26.449997,16.071209,1,26,0.773439765625,True,REGULAR,USD
42,TSLA200117C00220000,2019-12-19 19:20:10,220.0,185.25,184.8,186.5,0.0,0.0,4,2368,0.78711150390625,True,REGULAR,USD
43,TSLA200117C00225000,2019-12-16 16:48:54,225.0,154.57,178.7,182.5,0.0,0.0,2,186,0.64062859375,True,REGULAR,USD
44,TSLA200117C00230000,2019-12-18 16:26:23,230.0,156.1,173.7,177.55,0.0,0.0,2,0,0.6953155468750001,True,REGULAR,USD
45,TSLA200117C00235000,2019-12-18 18:35:24,235.0,155.18,168.7,172.45,0.0,0.0,1,65,1.1467327819824216,True,REGULAR,USD
46,TSLA200117C00240000,2019-12-19 19:57:25,240.0,164.82,163.95,167.75,0.0,0.0,4,0,0.8085956640624999,True,REGULAR,USD
47,TSLA200117C00245000,2019-12-19 14:31:56,245.0,156.2,158.8,162.5,0.0,0.0,3,29,0.65820654296875,True,REGULAR,USD
48,TSLA200117C00250000,2019-12-20 20:56:42,250.0,157.15,154.15,156.4,2.25,1.45255,382,0,0.8889171264648437,True,REGULAR,USD
49,TSLA200117C00255000,2019-12-20 15:57:27,255.0,147.4,150.35,151.3,-2.130005,-1.4244666,50,2147,0.7143583251953125,True,REGULAR,USD
50,TSLA200117C00260000,2019-12-20 18:53:48,260.0,147.0,144.8,147.85,1.75,1.2048192,6,1742,0.8125018749999999,True,REGULAR,USD
51,TSLA200117C00265000,2019-12-20 20:45:48,265.0,139.19,139.9,141.6,-0.30999756,-0.22222048,1,0,0.6289099609375001,True,REGULAR,USD
52,TSLA200117C00270000,2019-12-20 20:53:34,270.0,135.31,134.65,136.9,0.8600006,0.6396435,11,2169,0.6152382226562501,True,REGULAR,USD
53,TSLA200117C00275000,2019-12-20 20:42:43,275.0,129.87,128.95,133.0,3.369995,2.6640277,6,1903,0.6528355029296876,True,REGULAR,USD
54,TSLA200117C00280000,2019-12-20 20:09:15,280.0,124.4,123.95,126.7,-1.0,-0.7974481,17,0,0.7460962890625,True,REGULAR,USD
55,TSLA200117C00285000,2019-12-20 17:34:16,285.0,120.83,120.05,122.8,5.529999,4.7961826,14,0,0.6796907031250001,True,REGULAR,USD
56,TSLA200117C00290000,2019-12-20 20:58:25,290.0,115.85,115.7,118.05,1.2200012,1.0642949,25,0,0.7055693505859376,True,REGULAR,USD
57,TSLA200117C00295000,2019-12-20 20:03:17,295.0,110.0,110.75,113.2,-0.75,-0.6772009,30,438,0.68555001953125,True,REGULAR,USD
58,TSLA200117C00300000,2019-12-20 20:41:50,300.0,105.3,105.75,106.9,-0.26999664,-0.2557513,105,0,0.5810588769531251,True,REGULAR,USD
59,TSLA200117C00305000,2019-12-20 17:23:22,305.0,99.59,100.15,102.95,-0.7800064,-0.777131,3,731,0.5817912915039063,True,REGULAR,USD
60,TSLA200117C00310000,2019-12-20 20:18:51,310.0,94.6,94.75,97.0,-0.20999908,-0.22149466,49,0,0.5983926879882813,True,REGULAR,USD
61,TSLA200117C00315000,2019-12-20 20:35:14,315.0,91.05,91.15,93.45,1.9200058,2.1541634,17,0,0.5937540625000001,True,REGULAR,USD
62,TSLA200117C00320000,2019-12-20 20:54:40,320.0,86.5,85.25,87.5,0.5,0.5813953,34,5729,0.5784954260253907,True,REGULAR,USD
63,TSLA200117C00325000,2019-12-20 19:53:51,325.0,80.95,81.5,82.5,-0.5,-0.61387354,24,1569,0.5114794946289063,True,REGULAR,USD
64,TSLA200117C00330000,2019-12-20 20:57:54,330.0,77.6,76.75,79.25,0.5999985,0.7792188,142,6996,0.5495650512695314,True,REGULAR,USD
65,TSLA200117C00335000,2019-12-20 19:50:36,335.0,71.72,72.15,73.0,0.5699997,0.801124,25,0,0.518681571044922,True,REGULAR,USD
66,TSLA200117C00340000,2019-12-20 20:51:58,340.0,67.3,67.45,69.4,0.8600006,1.2944019,68,2659,0.5102588037109376,True,REGULAR,USD
67,TSLA200117C00345000,2019-12-20 18:19:45,345.0,64.14,62.7,64.2,2.8400002,4.632953,12,570,0.5147753601074219,True,REGULAR,USD
68,TSLA200117C00350000,2019-12-20 20:59:00,350.0,59.3,58.45,60.75,1.7999992,3.1304333,322,9000,0.5435836657714845,True,REGULAR,USD
69,TSLA200117C00355000,2019-12-20 20:53:34,355.0,54.25,53.55,55.1,0.7099991,1.3261095,14,1035,0.4841970526123047,True,REGULAR,USD
70,TSLA200117C00360000,2019-12-20 20:58:17,360.0,50.51,50.0,51.0,1.6099968,3.2924268,317,5701,0.481450498046875,True,REGULAR,USD
71,TSLA200117C00365000,2019-12-20 20:58:21,365.0,46.25,45.9,46.9,1.75,3.9325845,119,0,0.4745535943603516,True,REGULAR,USD
72,TSLA200117C00370000,2019-12-20 20:53:53,370.0,42.1,42.0,43.05,1.1699982,2.8585343,124,3149,0.4714408325195312,True,REGULAR,USD
73,TSLA200117C00375000,2019-12-20 20:56:49,375.0,38.8,37.95,39.65,2.0999985,5.7220664,435,0,0.4764761825561523,True,REGULAR,USD
74,TSLA200117C00380000,2019-12-20 20:54:27,380.0,34.51,34.6,35.25,0.59000015,1.7393874,635,4119,0.45075012145996096,True,REGULAR,USD
75,TSLA200117C00385000,2019-12-20 20:59:35,385.0,31.6,29.95,32.05,0.95000076,3.099513,190,1146,0.45252012329101565,True,REGULAR,USD
76,TSLA200117C00390000,2019-12-20 20:55:25,390.0,28.65,27.65,29.0,1.6499996,6.1111097,384,0,0.4531915032958984,True,REGULAR,USD
77,TSLA200117C00395000,2019-12-20 20:46:00,395.0,24.35,24.9,26.0,0.0,0.0,821,1541,0.45050598327636715,True,REGULAR,USD
78,TSLA200117C00400000,2019-12-20 20:59:58,400.0,22.5,22.15,22.85,1.0499992,4.895101,2685,0,0.4402521795654296,True,REGULAR,USD
79,TSLA200117C00405000,2019-12-20 20:58:40,405.0,20.05,19.65,20.4,0.94999886,4.973816,1399,0,0.44135080139160154,True,REGULAR,USD
80,TSLA200117C00410000,2019-12-20 20:59:58,410.0,17.85,17.3,17.85,1.1499996,6.886225,3846,3722,0.4359187268066406,False,REGULAR,USD
81,TSLA200117C00415000,2019-12-20 20:57:06,415.0,15.5,15.15,15.7,1.25,8.77193,614,550,0.43494217407226565,False,REGULAR,USD
82,TSLA200117C00420000,2019-12-20 20:59:54,420.0,13.32,13.2,13.8,0.6300001,4.96454,1774,0,0.43530838134765626,False,REGULAR,USD
83,TSLA200117C00425000,2019-12-20 20:59:46,425.0,11.68,11.45,13.2,0.4800005,4.285719,1929,972,0.4613396151733399,False,REGULAR,USD
84,TSLA200117C00430000,2019-12-20 20:59:43,430.0,10.18,10.0,10.5,0.5799999,6.0416656,869,0,0.43515579498291024,False,REGULAR,USD
85,TSLA200117C00435000,2019-12-20 20:57:12,435.0,8.92,8.4,9.0,0.78999996,9.717096,309,1906,0.43256182678222654,False,REGULAR,USD
86,TSLA200117C00440000,2019-12-20 20:59:43,440.0,7.59,7.25,7.8,0.53999996,7.659574,846,2753,0.4335994140625,False,REGULAR,USD
87,TSLA200117C00445000,2019-12-20 20:59:46,445.0,6.52,6.15,6.6,0.5799999,9.764309,108,0,0.4307307904052735,False,REGULAR,USD
88,TSLA200117C00450000,2019-12-20 20:58:07,450.0,5.65,5.4,5.65,0.4000001,7.6190495,1391,5612,0.43103596313476567,False,REGULAR,USD
89,TSLA200117C00455000,2019-12-20 20:57:12,455.0,4.87,4.7,5.0,0.4699998,10.681813,190,198,0.43720045227050786,False,REGULAR,USD
90,TSLA200117C00460000,2019-12-20 20:57:01,460.0,4.15,4.0,4.2,0.5,13.69863,226,617,0.43543045043945316,False,REGULAR,USD
91,TSLA200117C00465000,2019-12-20 20:40:51,465.0,3.33,3.35,3.55,0.099999905,3.0959723,200,0,0.4352473468017578,False,REGULAR,USD
92,TSLA200117C00470000,2019-12-20 20:50:44,470.0,2.93,2.85,3.15,0.20000005,7.3260093,355,1079,0.4417780432128906,False,REGULAR,USD
93,TSLA200117C00475000,2019-12-20 20:57:30,475.0,2.58,2.42,2.7,0.23000002,9.787235,233,0,0.4437311486816406,False,REGULAR,USD
94,TSLA200117C00480000,2019-12-20 20:55:00,480.0,2.15,2.05,2.32,0.16000009,8.040205,220,3197,0.4461725305175781,False,REGULAR,USD
95,TSLA200117C00485000,2019-12-20 20:52:16,485.0,1.79,1.73,1.95,0.029999971,1.7045438,96,209,0.44635563415527346,False,REGULAR,USD
96,TSLA200117C00490000,2019-12-20 20:50:44,490.0,1.54,1.47,1.72,0.089999914,6.2068906,142,1009,0.45178770874023444,False,REGULAR,USD
97,TSLA200117C00495000,2019-12-20 20:50:25,495.0,1.31,1.23,1.48,-0.13000011,-9.027785,199,0,0.4544732287597656,False,REGULAR,USD
