,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA200515C00200000,2019-12-11 15:03:07,200.0,160.17,204.95,208.9,0.0,0.0,10,13,0.5983926879882813,True,REGULAR,USD
1,TSLA200515C00220000,2019-12-19 14:35:56,220.0,181.98,185.9,189.8,0.0,0.0,2,4,0.5819133605957032,True,REGULAR,USD
2,TSLA200515C00230000,2019-12-19 18:51:38,230.0,179.15,176.7,180.4,0.0,0.0,10,10,0.5776409423828125,True,REGULAR,USD
3,TSLA200515C00250000,2019-12-20 19:25:19,250.0,161.05,158.0,162.05,0.55000305,0.34268102,1,0,0.5568891967773439,True,REGULAR,USD
4,TSLA200515C00255000,2019-12-09 17:28:53,255.0,95.05,153.75,157.3,0.0,0.0,10,0,0.5534712622070312,True,REGULAR,USD
5,TSLA200515C00260000,2019-12-19 14:36:02,260.0,145.21,149.2,153.0,0.0,0.0,2,12,0.5510298803710938,True,REGULAR,USD
6,TSLA200515C00265000,2019-12-19 14:32:51,265.0,142.13,144.8,148.6,0.0,0.0,25,28,0.5480391876220705,True,REGULAR,USD
7,TSLA200515C00270000,2019-12-19 20:41:12,270.0,141.9,140.85,143.95,0.0,0.0,1,120,0.5463302203369143,True,REGULAR,USD
8,TSLA200515C00275000,2019-12-05 18:13:33,275.0,74.0,136.65,139.65,0.0,0.0,2,17,0.5444991839599609,True,REGULAR,USD
9,TSLA200515C00280000,2019-12-19 14:32:51,280.0,132.05,131.55,135.4,0.0,0.0,28,23,0.5324143438720703,True,REGULAR,USD
10,TSLA200515C00285000,2019-12-19 20:29:30,285.0,127.81,127.4,130.75,0.0,0.0,30,0,0.5258531301879883,True,REGULAR,USD
11,TSLA200515C00290000,2019-12-20 19:34:43,290.0,125.79,123.25,126.25,23.980003,23.553682,2,0,0.5200548483276367,True,REGULAR,USD
12,TSLA200515C00295000,2019-12-18 19:34:16,295.0,108.46,119.0,122.95,0.0,0.0,23,35,0.5236558865356445,True,REGULAR,USD
13,TSLA200515C00300000,2019-12-20 20:01:22,300.0,116.26,116.15,118.85,5.209999,4.6915793,13,95,0.5307053765869141,True,REGULAR,USD
14,TSLA200515C00305000,2019-12-19 20:28:17,305.0,111.45,111.05,114.85,0.0,0.0,25,0,0.5182543292236328,True,REGULAR,USD
15,TSLA200515C00310000,2019-12-19 15:41:49,310.0,106.97,107.0,110.85,0.0,0.0,2,56,0.5139208764648437,True,REGULAR,USD
16,TSLA200515C00315000,2019-12-19 18:20:07,315.0,103.73,103.1,107.05,0.0,0.0,3,42,0.5113879428100586,True,REGULAR,USD
17,TSLA200515C00320000,2019-12-20 16:14:09,320.0,97.17,99.9,102.85,-2.7600021,-2.7619355,10,36,0.5101062173461915,True,REGULAR,USD
18,TSLA200515C00325000,2019-12-19 20:58:05,325.0,96.5,95.6,99.4,0.0,0.0,2,29,0.5053455227661132,True,REGULAR,USD
19,TSLA200515C00330000,2019-12-19 18:51:27,330.0,94.75,91.9,95.7,0.0,0.0,3,0,0.5022022436523439,True,REGULAR,USD
20,TSLA200515C00335000,2019-12-19 18:52:36,335.0,91.05,88.5,92.2,0.0,0.0,3,0,0.5014087945556642,True,REGULAR,USD
21,TSLA200515C00340000,2019-12-19 16:19:51,340.0,86.82,84.75,88.45,0.0,0.0,6,0,0.518910450592041,True,REGULAR,USD
22,TSLA200515C00345000,2019-12-19 15:46:19,345.0,81.7,81.35,85.3,0.0,0.0,1,0,0.5192308819580078,True,REGULAR,USD
23,TSLA200515C00350000,2019-12-20 19:45:40,350.0,79.95,79.35,81.4,-0.40000153,-0.49782395,12,189,0.5098010446166993,True,REGULAR,USD
24,TSLA200515C00355000,2019-12-19 19:56:40,355.0,76.6,76.35,78.1,0.0,0.0,14,62,0.5067188000488281,True,REGULAR,USD
25,TSLA200515C00360000,2019-12-20 17:43:18,360.0,74.75,72.9,75.3,4.8499985,6.9384813,20,0,0.5084582846069335,True,REGULAR,USD
26,TSLA200515C00365000,2019-12-20 17:46:50,365.0,71.85,68.4,71.6,0.69999695,0.98383266,1,55,0.49933361999511716,True,REGULAR,USD
27,TSLA200515C00370000,2019-12-20 15:57:27,370.0,65.45,66.85,69.2,-0.80000305,-1.2075517,5,82,0.5036365554809571,True,REGULAR,USD
