,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA200221C00100000,2019-12-20 15:18:57,100.0,303.9,304.4,306.5,26.850006,9.691394,1.0,5,1.6137714624023438,True,REGULAR,USD
1,TSLA200221C00200000,2019-12-20 15:51:06,200.0,204.73,203.9,207.3,-1.2700043,-0.61650693,3.0,16,0.500005,True,REGULAR,USD
2,TSLA200221C00220000,2019-12-16 05:11:46,220.0,135.57,183.95,187.8,0.0,0.0,,1,0.632816171875,True,REGULAR,USD
3,TSLA200221C00230000,2019-12-20 16:18:28,230.0,170.7,174.05,177.55,44.42,35.175797,1.0,0,0.56836369140625,True,REGULAR,USD
4,TSLA200221C00240000,2019-12-16 05:11:46,240.0,116.91,164.2,167.0,0.0,0.0,,5,0.7074003869628906,True,REGULAR,USD
5,TSLA200221C00245000,2019-12-16 16:55:12,245.0,137.09,159.35,162.9,0.0,0.0,1.0,0,0.5805706005859376,True,REGULAR,USD
6,TSLA200221C00250000,2019-12-19 18:55:14,250.0,157.0,154.35,157.95,0.0,0.0,1.0,19,0.5639692041015626,True,REGULAR,USD
7,TSLA200221C00270000,2019-12-19 20:41:54,270.0,136.96,134.8,138.95,0.0,0.0,1.0,7,0.5588423022460938,True,REGULAR,USD
8,TSLA200221C00275000,2019-12-19 14:53:42,275.0,126.79,130.2,133.8,0.0,0.0,2.0,6,0.5471236694335939,True,REGULAR,USD
9,TSLA200221C00280000,2019-12-20 14:30:45,280.0,134.28,125.45,129.1,7.1800003,5.6490955,1.0,3,0.5449264257812501,True,REGULAR,USD
10,TSLA200221C00285000,2019-12-20 14:30:45,285.0,129.6,120.85,123.7,8.850006,7.329198,1.0,5,0.5231981274414061,True,REGULAR,USD
11,TSLA200221C00290000,2019-12-20 15:17:43,290.0,118.45,116.9,119.05,2.9799957,2.580753,4.0,39,0.5416305603027345,True,REGULAR,USD
12,TSLA200221C00295000,2019-12-19 16:14:04,295.0,112.53,111.3,115.35,0.0,0.0,1.0,26,0.5364426239013673,True,REGULAR,USD
13,TSLA200221C00300000,2019-12-20 20:37:45,300.0,108.0,108.2,110.8,-0.13999939,-0.12946124,38.0,124,0.5634198931884766,True,REGULAR,USD
14,TSLA200221C00305000,2019-12-19 15:40:20,305.0,101.74,102.25,105.9,0.0,0.0,30.0,49,0.5229539892578124,True,REGULAR,USD
15,TSLA200221C00310000,2019-12-20 17:35:15,310.0,99.3,97.9,101.7,2.050003,2.1079724,4.0,41,0.5267381311035157,True,REGULAR,USD
16,TSLA200221C00315000,2019-12-20 20:49:28,315.0,94.25,94.9,97.4,4.830002,5.4014783,11.0,20,0.547001600341797,True,REGULAR,USD
17,TSLA200221C00320000,2019-12-20 17:29:54,320.0,89.77,89.9,91.6,2.7699966,3.1839042,4.0,64,0.5099536309814454,True,REGULAR,USD
18,TSLA200221C00325000,2019-12-20 16:40:54,325.0,85.94,85.75,87.7,1.090004,1.2846246,6.0,37,0.5139208764648437,True,REGULAR,USD
19,TSLA200221C00330000,2019-12-20 16:51:30,330.0,80.05,82.3,83.2,-0.44999695,-0.55900246,10.0,0,0.5161486373901367,True,REGULAR,USD
20,TSLA200221C00335000,2019-12-20 18:34:57,335.0,78.95,77.8,79.25,0.12999725,0.16492927,1.0,0,0.5096484582519532,True,REGULAR,USD
21,TSLA200221C00340000,2019-12-20 16:11:32,340.0,70.21,74.2,76.6,-3.8899994,-5.249662,2.0,332,0.5265245101928712,True,REGULAR,USD
22,TSLA200221C00345000,2019-12-20 20:02:04,345.0,69.7,70.2,71.4,0.25,0.35997123,7.0,0,0.507817421875,True,REGULAR,USD
23,TSLA200221C00350000,2019-12-20 18:11:15,350.0,66.94,66.6,67.5,1.6399994,2.5114844,26.0,0,0.5060474200439453,True,REGULAR,USD
24,TSLA200221C00355000,2019-12-20 16:57:01,355.0,61.15,62.7,63.95,-0.5,-0.81103,2.0,114,0.5027515545654297,True,REGULAR,USD
25,TSLA200221C00360000,2019-12-20 20:55:00,360.0,60.0,59.25,60.5,1.1500015,1.9541234,15.0,0,0.5026905200195313,True,REGULAR,USD
26,TSLA200221C00365000,2019-12-20 20:26:39,365.0,55.9,55.95,56.85,1.300003,2.380958,4.0,0,0.5001270690917969,True,REGULAR,USD
27,TSLA200221C00370000,2019-12-20 18:22:13,370.0,53.43,52.4,55.05,0.58000183,1.0974491,10.0,0,0.5093127682495118,True,REGULAR,USD
28,TSLA200221C00375000,2019-12-20 20:13:20,375.0,48.71,49.4,50.2,0.65999985,1.3735689,38.0,0,0.5018970709228516,True,REGULAR,USD
29,TSLA200221C00380000,2019-12-20 20:47:54,380.0,45.9,46.1,48.55,0.0,0.0,83.0,604,0.503361900024414,True,REGULAR,USD
30,TSLA200221C00385000,2019-12-20 16:09:53,385.0,40.3,43.25,44.45,-2.5,-5.8411217,4.0,178,0.5028736236572267,True,REGULAR,USD
