,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA200103C00240000,2019-12-20 18:22:13,240.0,166.54,163.2,167.45,45.249992,37.307274,1.0,17,1.5415061987304686,True,REGULAR,USD
1,TSLA200103C00245000,2019-12-03 15:27:39,245.0,89.72,158.15,162.4,0.0,0.0,,15,1.4814479052734375,True,REGULAR,USD
2,TSLA200103C00260000,2019-12-20 17:44:12,260.0,147.5,143.25,147.5,4.050003,2.8232856,1.0,14,1.3461946752929683,True,REGULAR,USD
3,TSLA200103C00265000,2019-12-03 16:43:16,265.0,72.9,138.4,142.55,0.0,0.0,10.0,16,1.3046909765624997,True,REGULAR,USD
4,TSLA200103C00270000,2019-12-10 19:22:10,270.0,80.29,133.3,137.45,0.0,0.0,2.0,0,1.2429237072753905,True,REGULAR,USD
5,TSLA200103C00275000,2019-12-19 20:53:52,275.0,128.8,128.45,132.5,0.0,0.0,10.0,23,1.2026407055664063,True,REGULAR,USD
6,TSLA200103C00280000,2019-12-16 16:55:53,280.0,101.67,123.5,127.55,0.0,0.0,1.0,0,1.1623577038574218,True,REGULAR,USD
7,TSLA200103C00285000,2019-12-16 15:17:06,285.0,90.3,118.4,122.6,0.0,0.0,,1,1.1225629809570314,True,REGULAR,USD
8,TSLA200103C00290000,2019-12-19 15:41:44,290.0,113.33,113.35,117.65,0.0,0.0,1.0,5,1.0827682580566407,True,REGULAR,USD
9,TSLA200103C00295000,2019-12-10 15:01:41,295.0,52.14,108.55,112.65,0.0,0.0,1.0,0,0.500005,True,REGULAR,USD
10,TSLA200103C00300000,2019-12-20 18:17:13,300.0,107.0,103.8,107.75,3.709999,3.591828,1.0,0,0.6552768847656252,True,REGULAR,USD
11,TSLA200103C00305000,2019-12-18 17:04:04,305.0,83.55,98.6,102.75,0.0,0.0,6.0,0,0.5644574804687501,True,REGULAR,USD
12,TSLA200103C00307500,2019-12-09 05:05:13,307.5,33.1,95.9,100.25,0.0,0.0,,0,0.9372564868164062,True,REGULAR,USD
13,TSLA200103C00310000,2019-12-18 20:49:59,310.0,83.3,93.45,97.8,0.0,0.0,7.0,0,0.9201668139648438,True,REGULAR,USD
14,TSLA200103C00312500,2019-12-20 17:34:59,312.5,93.62,91.15,95.3,2.6800003,2.9469984,1.0,0,0.551762294921875,True,REGULAR,USD
15,TSLA200103C00315000,2019-12-20 17:30:45,315.0,90.2,88.7,92.85,26.449997,41.490192,1.0,0,0.5600629931640625,True,REGULAR,USD
16,TSLA200103C00317500,2019-12-16 14:46:24,317.5,53.27,86.1,90.35,0.0,0.0,5.0,0,0.5224657128906249,True,REGULAR,USD
17,TSLA200103C00320000,2019-12-20 19:07:30,320.0,86.87,83.75,87.9,2.1200027,2.5014782,3.0,84,0.5473678076171876,True,REGULAR,USD
18,TSLA200103C00322500,2019-12-13 16:23:27,322.5,36.8,81.1,85.45,0.0,0.0,2.0,0,0.5136767382812499,True,REGULAR,USD
19,TSLA200103C00325000,2019-12-20 18:17:34,325.0,81.77,78.7,83.0,11.609993,16.54788,10.0,80,0.5239305419921875,True,REGULAR,USD
20,TSLA200103C00327500,2019-12-20 20:55:07,327.5,76.35,76.6,80.5,15.969997,26.44915,2.0,0,0.5564009204101563,True,REGULAR,USD
21,TSLA200103C00330000,2019-12-19 20:58:14,330.0,81.35,74.15,78.05,4.9000015,6.40942,12.0,0,0.5493209130859377,True,REGULAR,USD
22,TSLA200103C00332500,2019-12-18 17:43:51,332.5,56.29,71.4,75.65,0.0,0.0,7.0,0,0.5178270874023438,True,REGULAR,USD
23,TSLA200103C00335000,2019-12-20 16:51:33,335.0,68.5,68.9,73.2,1.5,2.238806,2.0,116,0.5061084545898438,True,REGULAR,USD
24,TSLA200103C00337500,2019-12-20 16:01:43,337.5,64.52,66.45,70.75,12.169998,23.24737,5.0,123,0.7187528125,True,REGULAR,USD
25,TSLA200103C00340000,2019-12-20 19:04:36,340.0,66.51,64.3,66.85,1.0100021,1.541988,26.0,201,0.57812921875,True,REGULAR,USD
26,TSLA200103C00342500,2019-12-17 20:42:21,342.5,38.9,61.6,65.9,0.0,0.0,11.0,61,0.6859162268066408,True,REGULAR,USD
27,TSLA200103C00345000,2019-12-20 15:56:24,345.0,58.76,59.4,62.15,-1.2400017,-2.0666695,12.0,0,0.5678754150390625,True,REGULAR,USD
28,TSLA200103C00347500,2019-12-20 18:01:08,347.5,59.52,56.8,61.15,5.869999,10.941284,4.0,118,0.6585727502441407,True,REGULAR,USD
29,TSLA200103C00350000,2019-12-20 20:21:11,350.0,55.5,54.8,57.3,0.060001373,0.10822759,52.0,0,0.5408981457519533,True,REGULAR,USD
30,TSLA200103C00352500,2019-12-20 20:28:38,352.5,54.17,52.1,56.4,3.1699982,6.2156825,9.0,346,0.6293982373046876,True,REGULAR,USD
31,TSLA200103C00355000,2019-12-20 18:30:59,355.0,52.5,49.75,54.1,1.8800011,3.7139494,3.0,375,0.6184120190429689,True,REGULAR,USD
32,TSLA200103C00357500,2019-12-20 16:31:54,357.5,47.1,47.8,51.75,13.139999,38.692577,2.0,424,0.6040078662109377,True,REGULAR,USD
33,TSLA200103C00360000,2019-12-20 20:38:35,360.0,47.1,45.55,47.95,1.5999985,3.5164804,14.0,0,0.5051319018554687,True,REGULAR,USD
34,TSLA200103C00362500,2019-12-20 20:36:17,362.5,44.59,42.9,45.75,2.5900002,6.166667,9.0,0,0.5022022436523439,True,REGULAR,USD
35,TSLA200103C00365000,2019-12-20 16:05:40,365.0,39.55,41.75,43.65,-1.9000015,-4.58384,24.0,399,0.5029346582031251,True,REGULAR,USD
36,TSLA200103C00367500,2019-12-20 18:03:17,367.5,41.1,39.7,41.25,1.829998,4.660041,6.0,56,0.4858449853515625,True,REGULAR,USD
37,TSLA200103C00370000,2019-12-20 20:31:52,370.0,38.2,38.05,39.3,0.5600014,1.4877826,36.0,538,0.4908498181152344,True,REGULAR,USD
