,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA210618C00005000,2019-11-13 14:31:47,5.0,350.0,349.95,358.4,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
1,TSLA210618C00010000,2019-11-27 19:35:30,10.0,319.25,391.5,399.35,0.0,0.0,20.0,9,2.2387739343261717,True,REGULAR,USD
2,TSLA210618C00015000,2019-10-18 15:26:57,15.0,286.66,315.1,322.3,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
3,TSLA210618C00020000,2019-10-23 19:00:47,20.0,234.26,309.8,316.5,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD
4,TSLA210618C00025000,2019-12-18 19:15:58,25.0,365.27,376.6,384.2,0.0,0.0,2.0,1,1.4761989080810547,True,REGULAR,USD
5,TSLA210618C00030000,2019-12-18 19:20:14,30.0,360.51,371.65,379.2,0.0,0.0,88.0,1,1.3597444122314453,True,REGULAR,USD
6,TSLA210618C00035000,2019-12-19 15:45:48,35.0,368.53,366.5,374.35,0.0,0.0,12.0,0,1.2780797814941405,True,REGULAR,USD
7,TSLA210618C00040000,2019-11-22 17:33:19,40.0,294.38,361.3,369.7,0.0,0.0,2.0,51,1.2238808337402345,True,REGULAR,USD
8,TSLA210618C00045000,2019-12-18 19:15:58,45.0,345.58,356.35,364.65,0.0,0.0,2.0,3,1.1511272912597654,True,REGULAR,USD
9,TSLA210618C00050000,2019-12-19 16:02:53,50.0,355.0,351.4,359.8,0.0,0.0,1.0,72,1.0999800860595703,True,REGULAR,USD
10,TSLA210618C00055000,2019-12-19 15:45:48,55.0,348.63,346.4,355.3,0.0,0.0,12.0,0,0.6621127539062501,True,REGULAR,USD
11,TSLA210618C00060000,2019-12-16 14:37:13,60.0,306.49,341.5,350.5,0.0,0.0,2.0,37,0.6701693139648439,True,REGULAR,USD
12,TSLA210618C00065000,2019-10-24 13:43:39,65.0,234.08,264.9,273.2,0.0,0.0,1.0,50,1.0000000000000003e-05,True,REGULAR,USD
13,TSLA210618C00070000,2019-11-22 17:33:19,70.0,264.77,331.85,340.85,0.0,0.0,2.0,0,0.6709017285156251,True,REGULAR,USD
